Equipo;PJ;PG;PE;PP;GF;GC;DG;Ptos
Universitario;17;12;4;1;32;7;25;40
Sporting Cristal;17;13;1;3;44;20;24;40
Melgar;17;12;2;3;36;19;17;38
Alianza Lima;17;11;0;6;32;16;16;33
Cusco FC;17;9;2;6;22;21;1;29
ADT;17;8;4;5;29;24;5;28
Cienciano;17;6;8;3;20;20;0;26
Comerciantes U.;17;6;4;7;22;31;-9;22
Los Chankas;17;6;3;8;25;26;-1;21
Vallejo;17;4;8;5;19;24;-5;20
Atlético Grau;17;4;7;6;19;17;2;19
Sport Boys;17;5;4;8;18;20;-2;19
Sport Huancayo;17;5;4;8;18;29;-11;19
UTC;17;4;4;9;21;29;-8;16
Garcilaso;17;3;5;9;20;26;-6;14
Alianza Atlético;17;3;5;9;11;19;-8;14
Mannucci;17;3;5;9;11;34;-23;14
Unión Comercio;17;1;6;10;17;34;-17;9
